product_name,brewery,stats
Double Dry Hopped Congress Street,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #12
ABV:
7.2%
Score:
100
Ranked #63
Avg:
4.59 | pDev: 6.32%
Reviews:
209
Ratings:
1,653
Status:
Active
Rated:
May 14, 2025
Added:
Aug 19, 2014 by halo3one
Wants:
  432
Gots:
  322"
Nectarine Premiere,de Garde Brewing,"You:
Not rated
From:
de Garde Brewing
  Oregon, United States
Style:
Saison
Ranked #7
ABV:
8.1%
Score:
100
Ranked #64
Avg:
4.61 | pDev: 6.07%
Reviews:
61
Ratings:
432
Status:
Active
Rated:
Aug 30, 2025
Added:
Apr 24, 2015 by ThatsThatDude
Wants:
  226
Gots:
  27"
Headroom,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #13
ABV:
8%
Score:
100
Ranked #65
Avg:
4.59 | pDev: 6.54%
Reviews:
127
Ratings:
842
Status:
Active
Rated:
Sep 14, 2025
Added:
Aug 20, 2015 by ThatsThatDude
Wants:
  298
Gots:
  94"
Society & Solitude #4,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
New England IPA
Ranked #15
ABV:
8%
Score:
100
Ranked #66
Avg:
4.58 | pDev: 6.33%
Reviews:
204
Ratings:
1,465
Status:
Active
Rated:
Jun 14, 2025
Added:
Jul 08, 2012 by jlindros
Wants:
  454
Gots:
  130"
Lou Pepe - Framboise,Brasserie Cantillon,"You:
Not rated
From:
Brasserie Cantillon
  Belgium
Style:
Fruit Lambic
Ranked #3
ABV:
5.5%
Score:
100
Ranked #67
Avg:
4.58 | pDev: 6.99%
Reviews:
318
Ratings:
1,444
Status:
Active
Rated:
Sep 12, 2025
Added:
Nov 03, 2003 by TheLongBeachBum
Wants:
  1,206
Gots:
  230"
Zombie Dust,3 Floyds Brewing Co.,"You:
Not rated
From:
3 Floyds Brewing Co.
  Indiana, United States
Style:
American Pale Ale
Ranked #1
ABV:
6.5%
Score:
100
Ranked #68
Avg:
4.57 | pDev: 8.53%
Reviews:
1,923
Ratings:
11,530
Status:
Active
Rated:
Friday at 02:07 PM
Added:
Dec 08, 2010 by hansgruber
Wants:
  4,947
Gots:
  3,826"
Cable Car,The Lost Abbey - The Tasting Room,"You:
Not rated
From:
The Lost Abbey - The Tasting Room
  California, United States
Style:
Wild Ale
Ranked #4
ABV:
7%
Score:
100
Ranked #69
Avg:
4.58 | pDev: 7.64%
Reviews:
249
Ratings:
1,163
Status:
Active
Rated:
Apr 13, 2025
Added:
Aug 12, 2007 by stephendr
Wants:
  2,704
Gots:
  117"
Very HHHazyyy,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #14
ABV:
8.8%
Score:
100
Ranked #70
Avg:
4.61 | pDev: 5.42%
Reviews:
57
Ratings:
325
Status:
Active
Rated:
Jul 29, 2025
Added:
Mar 30, 2021 by DVMin98
Wants:
  19
Gots:
  15"
Hunahpu's Imperial Stout,Cigar City Brewing,"You:
Not rated
From:
Cigar City Brewing
  Florida, United States
Style:
American Imperial Stout
Ranked #20
ABV:
10.2%
Score:
100
Ranked #71
Avg:
4.57 | pDev: 8.32%
Reviews:
867
Ratings:
4,468
Status:
Active
Rated:
Friday at 11:46 PM
Added:
Jan 03, 2009 by tpd975
Wants:
  3,730
Gots:
  1,261"
King Sue,Toppling Goliath Brewing Company,"You:
Not rated
From:
Toppling Goliath Brewing Company
  Iowa, United States
Style:
New England IPA
Ranked #16
ABV:
8.2%
Score:
100
Ranked #72
Avg:
4.57 | pDev: 7%
Reviews:
691
Ratings:
3,596
Status:
Active
Rated:
Sep 15, 2025
Added:
Feb 22, 2014 by TGanyone
Wants:
  1,422
Gots:
  601"
Green,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #17
ABV:
7.5%
Score:
100
Ranked #73
Avg:
4.57 | pDev: 6.78%
Reviews:
540
Ratings:
3,474
Status:
Active
Rated:
Aug 16, 2025
Added:
Jan 12, 2013 by jaasen64
Wants:
  897
Gots:
  1,118"
Haze,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #18
ABV:
8.2%
Score:
100
Ranked #74
Avg:
4.57 | pDev: 6.13%
Reviews:
480
Ratings:
3,240
Status:
Active
Rated:
Sep 06, 2025
Added:
Jun 19, 2014 by rudzud
Wants:
  712
Gots:
  1,066"
Flora Plum,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Saison
Ranked #8
ABV:
5%
Score:
100
Ranked #75
Avg:
4.6 | pDev: 5.22%
Reviews:
56
Ratings:
398
Status:
Active
Rated:
Aug 15, 2025
Added:
Mar 15, 2015 by ThatsThatDude
Wants:
  187
Gots:
  43"
Oude Geuze Vintage,Brouwerij 3 Fonteinen,"You:
Not rated
From:
Brouwerij 3 Fonteinen
  Belgium
Style:
Gueuze
Ranked #2
ABV:
6%
Score:
100
Ranked #76
Avg:
4.58 | pDev: 8.08%
Reviews:
153
Ratings:
899
Status:
Active
Rated:
Aug 23, 2025
Added:
May 14, 2006 by Todd
Wants:
  927
Gots:
  144"
Doppelganger,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #20
ABV:
8.2%
Score:
100
Ranked #77
Avg:
4.57 | pDev: 5.91%
Reviews:
309
Ratings:
2,128
Status:
Active
Rated:
Aug 06, 2025
Added:
Jan 22, 2016 by TomMorris
Wants:
  301
Gots:
  647"
Fort Point Pale Ale - Double Dry Hopped,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
American Pale Ale
Ranked #2
ABV:
6.6%
Score:
100
Ranked #78
Avg:
4.57 | pDev: 5.91%
Reviews:
222
Ratings:
1,805
Status:
Active
Rated:
Sep 06, 2025
Added:
Mar 19, 2014 by Damian
Wants:
  374
Gots:
  324"
Swish,Bissell Brothers Brewing Co.,"You:
Not rated
From:
Bissell Brothers Brewing Co.
  Maine, United States
Style:
New England IPA
Ranked #21
ABV:
8%
Score:
100
Ranked #79
Avg:
4.57 | pDev: 6.35%
Reviews:
269
Ratings:
1,775
Status:
Active
Rated:
Friday at 05:00 PM
Added:
May 31, 2014 by Texasfan549
Wants:
  596
Gots:
  385"
Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,"You:
Not rated
From:
Parish Brewing Company
  Louisiana, United States
Style:
New England IPA
Ranked #19
ABV:
8.5%
Score:
100
Ranked #80
Avg:
4.59 | pDev: 5.88%
Reviews:
76
Ratings:
467
Status:
Active
Rated:
Sep 12, 2025
Added:
Dec 09, 2017 by Texasfan549
Wants:
  88
Gots:
  24"
Brandy Barrel Aged Dark Lord With Vanilla Beans,3 Floyds Brewing Co.,"You:
Not rated
From:
3 Floyds Brewing Co.
  Indiana, United States
Style:
Russian Imperial Stout
Ranked #4
ABV:
15%
Score:
100
Ranked #81
Avg:
4.64 | pDev: 11.85%
Reviews:
57
Ratings:
168
Status:
Active
Rated:
Sep 14, 2025
Added:
May 04, 2011 by Jips
Wants:
  439
Gots:
  37"
Grande Negro Voodoo Papi - Bourbon Barrel-Aged,Voodoo Brewing Co.,"You:
Not rated
From:
Voodoo Brewing Co.
  Pennsylvania, United States
Style:
American Imperial Stout
Ranked #19
ABV:
12%
Score:
100
Ranked #82
Avg:
4.59 | pDev: 6.54%
Reviews:
62
Ratings:
418
Status:
Active
Rated:
Aug 31, 2025
Added:
Jan 11, 2016 by tommyguz
Wants:
  238
Gots:
  41"
Focal Banger,The Alchemist,"You:
Not rated
From:
The Alchemist
  Vermont, United States
Style:
New England IPA
Ranked #22
ABV:
7%
Score:
100
Ranked #83
Avg:
4.56 | pDev: 7.24%
Reviews:
719
Ratings:
4,585
Status:
Active
Rated:
Tuesday at 10:10 PM
Added:
Jul 06, 2010 by koopa
Wants:
  1,874
Gots:
  1,370"
The Adjunct Trail - Bourbon Barrel-Aged,Angry Chair Brewing,"You:
Not rated
From:
Angry Chair Brewing
  Florida, United States
Style:
Sweet / Milk Stout
Ranked #1
ABV:
11%
Score:
100
Ranked #84
Avg:
4.66 | pDev: 5.58%
Reviews:
14
Ratings:
126
Status:
Active
Rated:
Sep 14, 2025
Added:
Mar 08, 2019 by xt0n1cx
Wants:
  32
Gots:
  3"
Abricot Du Fermier,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Saison
Ranked #9
ABV:
8%
Score:
100
Ranked #85
Avg:
4.58 | pDev: 5.68%
Reviews:
51
Ratings:
456
Status:
Active
Rated:
Mar 07, 2025
Added:
Sep 19, 2014 by coryking
Wants:
  302
Gots:
  45"
Coconut Vibes,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Russian Imperial Stout
Ranked #5
ABV:
13%
Score:
100
Ranked #86
Avg:
4.61 | pDev: 5.64%
Reviews:
36
Ratings:
223
Status:
Active
Rated:
Aug 15, 2025
Added:
Nov 02, 2017 by durlta
Wants:
  60
Gots:
  7"
Triple Shot,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
American Imperial Stout
Ranked #21
ABV:
9.7%
Score:
100
Ranked #87
Avg:
4.57 | pDev: 5.69%
Reviews:
103
Ratings:
664
Status:
Active
Rated:
May 17, 2025
Added:
Feb 27, 2015 by ThatsThatDude
Wants:
  200
Gots:
  64"
West Ashley,Sante Adairius Rustic Ales,"You:
Not rated
From:
Sante Adairius Rustic Ales
  California, United States
Style:
Saison
Ranked #10
ABV:
7.3%
Score:
100
Ranked #88
Avg:
4.56 | pDev: 5.92%
Reviews:
116
Ratings:
1,217
Status:
Active
Rated:
Jun 19, 2025
Added:
Aug 26, 2012 by illidurit
Wants:
  950
Gots:
  139"
Ephraim,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Imperial IPA
Ranked #7
ABV:
9.1%
Score:
100
Ranked #89
Avg:
4.56 | pDev: 7.89%
Reviews:
257
Ratings:
1,170
Status:
Active
Rated:
Wednesday at 11:24 AM
Added:
Sep 28, 2010 by Kegatron
Wants:
  1,483
Gots:
  51"
Coffee Cinnamon B-Bomb,Fremont Brewing Company,"You:
Not rated
From:
Fremont Brewing Company
  Washington, United States
Style:
American Strong Ale
Ranked #1
ABV:
13%
Score:
100
Ranked #90
Avg:
4.56 | pDev: 5.92%
Reviews:
184
Ratings:
1,148
Status:
Active
Rated:
Jun 22, 2025
Added:
Dec 06, 2014 by twelveinches
Wants:
  470
Gots:
  200"
The Broken Truck,de Garde Brewing,"You:
Not rated
From:
de Garde Brewing
  Oregon, United States
Style:
Wild Ale
Ranked #5
ABV:
5%
Score:
100
Ranked #91
Avg:
4.58 | pDev: 6.33%
Reviews:
59
Ratings:
416
Status:
Active
Rated:
Aug 24, 2025
Added:
May 19, 2015 by anteater
Wants:
  260
Gots:
  38"
Supplication,Russian River Brewing Company,"You:
Not rated
From:
Russian River Brewing Company
  California, United States
Style:
Wild Ale
Ranked #6
ABV:
7.75%
Score:
100
Ranked #92
Avg:
4.55 | pDev: 8.79%
Reviews:
1,549
Ratings:
6,737
Status:
Active
Rated:
Aug 26, 2025
Added:
Feb 25, 2005 by Todd
Wants:
  2,781
Gots:
  2,237"
Sip Of Sunshine,Lawson's Finest Liquids,"You:
Not rated
From:
Lawson's Finest Liquids
  Vermont, United States
Style:
Imperial IPA
Ranked #8
ABV:
8%
Score:
100
Ranked #93
Avg:
4.55 | pDev: 7.25%
Reviews:
923
Ratings:
6,240
Status:
Active
Rated:
Aug 31, 2025
Added:
Apr 03, 2014 by MichaelAllenVT
Wants:
  1,527
Gots:
  2,719"
Saison Du Fermier,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Saison
Ranked #11
ABV:
7%
Score:
100
Ranked #94
Avg:
4.56 | pDev: 6.58%
Reviews:
74
Ratings:
899
Status:
Active
Rated:
Mar 23, 2025
Added:
Sep 15, 2013 by MasterSki
Wants:
  693
Gots:
  103"
Bourbon Paradise,Prairie Artisan Ales,"You:
Not rated
From:
Prairie Artisan Ales
  Oklahoma, United States
Style:
American Imperial Stout
Ranked #23
ABV:
13.7%
Score:
100
Ranked #95
Avg:
4.56 | pDev: 5.48%
Reviews:
172
Ratings:
854
Status:
Active
Rated:
May 15, 2025
Added:
Nov 29, 2017 by Ristaccia
Wants:
  100
Gots:
  75"
The Rusty Nail,Fremont Brewing Company,"You:
Not rated
From:
Fremont Brewing Company
  Washington, United States
Style:
Oatmeal Stout
Ranked #1
ABV:
13.3%
Score:
100
Ranked #96
Avg:
4.56 | pDev: 5.92%
Reviews:
180
Ratings:
824
Status:
Active
Rated:
Aug 24, 2025
Added:
Mar 28, 2014 by fsck
Wants:
  234
Gots:
  115"
Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,"You:
Not rated
From:
Kuhnhenn Brewing Company
  Michigan, United States
Style:
Old Ale
Ranked #1
ABV:
13.6%
Score:
100
Ranked #97
Avg:
4.55 | pDev: 8.57%
Reviews:
455
Ratings:
2,091
Status:
Active
Rated:
Thursday at 08:24 PM
Added:
Dec 14, 2006 by alexgash
Wants:
  1,731
Gots:
  446"
Citra,Kern River Brewing Company,"You:
Not rated
From:
Kern River Brewing Company
  California, United States
Style:
Imperial IPA
Ranked #9
ABV:
8%
Score:
100
Ranked #98
Avg:
4.55 | pDev: 8.79%
Reviews:
440
Ratings:
1,915
Status:
Active
Rated:
Jul 31, 2025
Added:
Feb 13, 2010 by Solomon420
Wants:
  3,132
Gots:
  152"
Fort Point Pale Ale - Galaxy Dry Hopped,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
American Pale Ale
Ranked #3
ABV:
6.6%
Score:
100
Ranked #99
Avg:
4.55 | pDev: 6.15%
Reviews:
210
Ratings:
1,799
Status:
Active
Rated:
Jun 14, 2025
Added:
Dec 06, 2013 by JCTetreault
Wants:
  445
Gots:
  325"
Triple Sunshine,Lawson's Finest Liquids,"You:
Not rated
From:
Lawson's Finest Liquids
  Vermont, United States
Style:
Imperial IPA
Ranked #10
ABV:
10.5%
Score:
100
Ranked #100
Avg:
4.55 | pDev: 7.25%
Reviews:
174
Ratings:
1,185
Status:
Active
Rated:
May 14, 2025
Added:
May 06, 2014 by Rymar9
Wants:
  898
Gots:
  142"
Black Note Stout,Bell's Brewery - Eccentric Café & General Store,"You:
Not rated
From:
Bell's Brewery - Eccentric Café & General Store
  Michigan, United States
Style:
American Imperial Stout
Ranked #25
ABV:
11.2%
Score:
100
Ranked #101
Avg:
4.54 | pDev: 7.71%
Reviews:
846
Ratings:
4,989
Status:
Active
Rated:
Sep 04, 2025
Added:
Jun 15, 2007 by mcallister
Wants:
  2,721
Gots:
  1,320"
Black Tuesday,The Bruery,"You:
Not rated
From:
The Bruery
  California, United States
Style:
American Imperial Stout
Ranked #26
ABV:
19.5%
Score:
100
Ranked #102
Avg:
4.54 | pDev: 9.25%
Reviews:
802
Ratings:
4,287
Status:
Active
Rated:
Sep 04, 2025
Added:
Jul 17, 2009 by OlieIPA
Wants:
  3,251
Gots:
  2,042"
Beatification,Russian River Brewing Company,"You:
Not rated
From:
Russian River Brewing Company
  California, United States
Style:
Wild Ale
Ranked #7
ABV:
6%
Score:
100
Ranked #103
Avg:
4.54 | pDev: 8.59%
Reviews:
622
Ratings:
2,948
Status:
Active
Rated:
Aug 30, 2025
Added:
Jan 25, 2006 by hopsaplenty
Wants:
  3,126
Gots:
  592"
Alter Ego,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #23
ABV:
6.8%
Score:
100
Ranked #104
Avg:
4.54 | pDev: 6.17%
Reviews:
372
Ratings:
2,639
Status:
Active
Rated:
Aug 23, 2025
Added:
Jun 11, 2015 by Nav71292
Wants:
  519
Gots:
  866"
Sunday Brunch,Kane Brewing Company,"You:
Not rated
From:
Kane Brewing Company
  New Jersey, United States
Style:
Imperial Porter
Ranked #3
ABV:
9.2%
Score:
100
Ranked #105
Avg:
4.55 | pDev: 6.37%
Reviews:
102
Ratings:
860
Status:
Active
Rated:
Aug 12, 2025
Added:
Apr 26, 2014 by SadMachine
Wants:
  475
Gots:
  92"
Saint Lamvinus,Brasserie Cantillon,"You:
Not rated
From:
Brasserie Cantillon
  Belgium
Style:
Fruit Lambic
Ranked #4
ABV:
7%
Score:
100
Ranked #106
Avg:
4.54 | pDev: 7.49%
Reviews:
520
Ratings:
2,332
Status:
Active
Rated:
Sep 10, 2025
Added:
Mar 19, 2003 by truthbrew
Wants:
  1,421
Gots:
  465"
Society & Solitude #5,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
New England IPA
Ranked #24
ABV:
8.1%
Score:
100
Ranked #107
Avg:
4.54 | pDev: 6.17%
Reviews:
204
Ratings:
1,662
Status:
Active
Rated:
Aug 09, 2025
Added:
Sep 22, 2012 by Brad007
Wants:
  453
Gots:
  174"
Mexican Brunch,Kane Brewing Company,"You:
Not rated
From:
Kane Brewing Company
  New Jersey, United States
Style:
Imperial Porter
Ranked #4
ABV:
9.2%
Score:
100
Ranked #108
Avg:
4.55 | pDev: 6.15%
Reviews:
77
Ratings:
616
Status:
Active
Rated:
Aug 12, 2025
Added:
May 21, 2015 by Dustin_Sallitt
Wants:
  216
Gots:
  61"
Last Buffalo In The Park,Funky Buddha Brewery,"You:
Not rated
From:
Funky Buddha Brewery
  Florida, United States
Style:
Imperial Porter
Ranked #5
ABV:
11.5%
Score:
100
Ranked #109
Avg:
4.54 | pDev: 6.83%
Reviews:
138
Ratings:
914
Status:
Active
Rated:
Oct 10, 2024
Added:
Jan 10, 2015 by Alieniloquium
Wants:
  239
Gots:
  86"
Chocolate Rain,The Bruery,"You:
Not rated
From:
The Bruery
  California, United States
Style:
American Imperial Stout
Ranked #33
ABV:
19.6%
Score:
100
Ranked #110
Avg:
4.53 | pDev: 9.49%
Reviews:
379
Ratings:
2,889
Status:
Active
Rated:
Jul 24, 2025
Added:
Oct 27, 2009 by mikedashg
Wants:
  2,601
Gots:
  994"
Black Gold,Central Waters Brewing Co.,"You:
Not rated
From:
Central Waters Brewing Co.
  Wisconsin, United States
Style:
American Imperial Stout
Ranked #31
ABV:
13%
Score:
100
Ranked #111
Avg:
4.54 | pDev: 6.61%
Reviews:
127
Ratings:
884
Status:
Active
Rated:
May 23, 2025
Added:
Oct 12, 2013 by lunarbrew
Wants:
  580
Gots:
  170"
Miami Madness,J. Wakefield Brewing,"You:
Not rated
From:
J. Wakefield Brewing
  Florida, United States
Style:
Fruited Kettle Sour
Ranked #1
ABV:
7%
Score:
100
Ranked #112
Avg:
4.55 | pDev: 6.59%
Reviews:
67
Ratings:
510
Status:
Active
Rated:
Apr 25, 2025
Added:
Jan 28, 2015 by CheapBeerBuzz
Wants:
  241
Gots:
  31"
4th Anniversary,Other Half Brewing - Center Street,"You:
Not rated
From:
Other Half Brewing - Center Street
  New York, United States
Style:
New England IPA
Ranked #25
ABV:
10%
Score:
100
Ranked #113
Avg:
4.57 | pDev: 6.13%
Reviews:
34
Ratings:
282
Status:
Active
Rated:
Apr 12, 2025
Added:
Feb 03, 2018 by IdrinkGas
Wants:
  31
Gots:
  27"
Beyond Good And Evil,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
American Imperial Stout
Ranked #32
ABV:
10%
Score:
100
Ranked #114
Avg:
4.54 | pDev: 7.27%
Reviews:
85
Ratings:
791
Status:
Active
Rated:
Jul 21, 2025
Added:
Feb 04, 2014 by ThatsThatDude
Wants:
  594
Gots:
  76"
The Peach,de Garde Brewing,"You:
Not rated
From:
de Garde Brewing
  Oregon, United States
Style:
Wild Ale
Ranked #8
ABV:
7.3%
Score:
100
Ranked #115
Avg:
4.56 | pDev: 6.58%
Reviews:
56
Ratings:
348
Status:
Active
Rated:
Jun 21, 2025
Added:
Nov 14, 2015 by ThatsThatDude
Wants:
  148
Gots:
  25"
Double Shot,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
American Imperial Stout
Ranked #36
ABV:
8.2%
Score:
100
Ranked #116
Avg:
4.53 | pDev: 6.18%
Reviews:
136
Ratings:
1,246
Status:
Active
Rated:
May 14, 2025
Added:
Feb 22, 2014 by Jason
Wants:
  581
Gots:
  223"
Gggreennn!,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #26
ABV:
7.5%
Score:
100
Ranked #117
Avg:
4.54 | pDev: 6.17%
Reviews:
105
Ratings:
586
Status:
Active
Rated:
Sep 07, 2025
Added:
Jun 08, 2018 by bhatch729
Wants:
  51
Gots:
  66"
Parabajava,Firestone Walker Brewing Co.,"You:
Not rated
From:
Firestone Walker Brewing Co.
  California, United States
Style:
Russian Imperial Stout
Ranked #7
ABV:
14%
Score:
100
Ranked #118
Avg:
4.53 | pDev: 6.18%
Reviews:
143
Ratings:
962
Status:
Active
Rated:
Aug 24, 2025
Added:
Apr 13, 2013 by Rau71
Wants:
  435
Gots:
  165"
Plead The 5th - Bourbon Barrel-Aged,Dark Horse Brewing Company,"You:
Not rated
From:
Dark Horse Brewing Company
  Michigan, United States
Style:
Russian Imperial Stout
Ranked #8
ABV:
11%
Score:
100
Ranked #119
Avg:
4.52 | pDev: 7.52%
Reviews:
491
Ratings:
3,377
Status:
Active
Rated:
Feb 23, 2025
Added:
Jul 25, 2010 by MbpBugeye
Wants:
  2,156
Gots:
  842"
Notorious Triple IPA,Boneyard Beer Company,"You:
Not rated
From:
Boneyard Beer Company
  Oregon, United States
Style:
Imperial IPA
Ranked #11
ABV:
11.5%
Score:
100
Ranked #120
Avg:
4.53 | pDev: 7.51%
Reviews:
122
Ratings:
908
Status:
Active
Rated:
Sep 15, 2025
Added:
Jun 14, 2011 by jdense
Wants:
  554
Gots:
  96"
Medianoche - Coconut,WeldWerks Brewing Co.,"You:
Not rated
From:
WeldWerks Brewing Co.
  Colorado, United States
Style:
American Imperial Stout
Ranked #29
ABV:
14.1%
Score:
100
Ranked #121
Avg:
4.56 | pDev: 6.58%
Reviews:
45
Ratings:
269
Status:
Active
Rated:
Saturday at 09:15 PM
Added:
Mar 06, 2016 by spoony
Wants:
  82
Gots:
  11"
Leaner,Casey Brewing & Blending and Barrel Cellar,"You:
Not rated
From:
Casey Brewing & Blending and Barrel Cellar
  Colorado, United States
Style:
Saison
Ranked #12
ABV:
8%
Score:
100
Ranked #122
Avg:
4.56 | pDev: 5.26%
Reviews:
31
Ratings:
260
Status:
Active
Rated:
May 31, 2025
Added:
Jan 02, 2016 by ThatsThatDude
Wants:
  106
Gots:
  15"
Cutting Tiles - Mosaic,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #27
ABV:
8.5%
Score:
100
Ranked #123
Avg:
4.52 | pDev: 7.3%
Reviews:
207
Ratings:
1,459
Status:
Active
Rated:
Aug 03, 2025
Added:
Apr 24, 2015 by American_Hawk
Wants:
  425
Gots:
  294"
Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,"You:
Not rated
From:
Toppling Goliath Brewing Company
  Iowa, United States
Style:
American Pale Ale
Ranked #4
ABV:
5.8%
Score:
100
Ranked #124
Avg:
4.52 | pDev: 6.64%
Reviews:
247
Ratings:
1,446
Status:
Active
Rated:
Aug 09, 2025
Added:
May 25, 2016 by Dicers
Wants:
  125
Gots:
  211"
